sample_idx,reconstruction_idx,fc1_min_abs_diff,fc1_mean_abs_diff,fc1_max_abs_diff,fc2_min_abs_diff,fc2_mean_abs_diff,fc2_max_abs_diff,fc3_min_abs_diff,fc3_mean_abs_diff,fc3_max_abs_diff,all_layers_max_diff,all_layers_min_of_max
16,0,0.0007398128509521484,0.5477421879768372,1.154367446899414,0.020522356033325195,0.2651427388191223,0.7603861093521118,0.13287758827209473,0.14627377688884735,0.1677687168121338,1.154367446899414,0.1677687168121338
16,1,0.005181938409805298,0.13470350205898285,0.3229062259197235,0.00448453426361084,0.055187687277793884,0.14882266521453857,0.004900932312011719,0.016437968239188194,0.03582429885864258,0.3229062259197235,0.03582429885864258
16,2,0.01819862425327301,0.2863663136959076,0.8090313076972961,0.0010814666748046875,0.11884264647960663,0.4222000241279602,0.11512768268585205,0.13660438358783722,0.1493762731552124,0.8090313076972961,0.1493762731552124
16,3,0.00389176607131958,0.2818320393562317,1.1256376504898071,0.0006095170974731445,0.12348435819149017,0.3117522597312927,0.04234933853149414,0.05189649388194084,0.06307733058929443,1.1256376504898071,0.06307733058929443
16,4,0.002552047371864319,0.1339462250471115,0.4328022003173828,0.006450176239013672,0.060892876237630844,0.16614067554473877,0.007520794868469238,0.018677592277526855,0.027010440826416016,0.4328022003173828,0.027010440826416016
17,0,0.007185578346252441,0.4945240020751953,1.3890764713287354,0.014549821615219116,0.21621157228946686,0.7749841213226318,0.018242835998535156,0.059866517782211304,0.11826899647712708,1.3890764713287354,0.11826899647712708
17,1,0.0024878978729248047,0.06282152980566025,0.24192741513252258,0.0013195797801017761,0.02441682107746601,0.05722975730895996,0.0044224560260772705,0.010257651098072529,0.019050121307373047,0.24192741513252258,0.019050121307373047
17,2,0.007220745086669922,0.31536850333213806,0.6296403408050537,0.010605722665786743,0.1265682429075241,0.352664977312088,0.015268325805664062,0.024608245119452477,0.035620301961898804,0.6296403408050537,0.035620301961898804
17,3,0.004030168056488037,0.5435553789138794,1.962457299232483,0.0292472243309021,0.2876830995082855,0.6283993124961853,0.04375028610229492,0.06694311648607254,0.09136185050010681,1.962457299232483,0.09136185050010681
17,4,0.007896214723587036,0.5284508466720581,1.41643488407135,0.0037947893142700195,0.25572171807289124,0.822974443435669,0.1357109546661377,0.1779913753271103,0.21265935897827148,1.41643488407135,0.21265935897827148
18,0,0.006382063031196594,0.33611735701560974,0.8051015138626099,0.0057988762855529785,0.1226409524679184,0.32374364137649536,0.03343915939331055,0.05644967779517174,0.08973848819732666,0.8051015138626099,0.08973848819732666
18,1,0.0034187138080596924,0.5621702671051025,1.4044477939605713,0.01039789617061615,0.2125570923089981,0.5424168705940247,0.014749765396118164,0.02281107008457184,0.03750032186508179,1.4044477939605713,0.03750032186508179
18,2,0.0010766983032226562,0.1689421534538269,0.43500760197639465,0.002245962619781494,0.0857505202293396,0.2325139343738556,0.024171829223632812,0.03943771496415138,0.05732369422912598,0.43500760197639465,0.05732369422912598
18,3,0.03149312734603882,0.6150262355804443,1.3586069345474243,0.0024002790451049805,0.23558691143989563,0.6265109777450562,0.015317916870117188,0.022384867072105408,0.03579223155975342,1.3586069345474243,0.03579223155975342
18,4,0.003458082675933838,0.17625008523464203,0.5301390886306763,0.00572812557220459,0.07900483906269073,0.19061730802059174,0.0168304443359375,0.026051437482237816,0.03602486848831177,0.5301390886306763,0.03602486848831177
19,0,0.0002865791320800781,0.4064832925796509,1.558194637298584,0.01345217227935791,0.13832932710647583,0.3226863145828247,0.08664140105247498,0.12753990292549133,0.19049596786499023,1.558194637298584,0.19049596786499023
19,1,0.04141288995742798,0.6162590384483337,1.5740187168121338,0.057156920433044434,0.329282283782959,0.9107619524002075,0.11576151847839355,0.24840430915355682,0.40188702940940857,1.5740187168121338,0.40188702940940857
19,2,0.013064652681350708,0.3815195858478546,0.9645942449569702,0.001225292682647705,0.21787971258163452,0.5727329254150391,0.030761003494262695,0.16213321685791016,0.2605733871459961,0.9645942449569702,0.2605733871459961
19,3,0.010764718055725098,0.3980465531349182,1.4130611419677734,0.006335988640785217,0.17753265798091888,0.4654134511947632,0.08257675170898438,0.13890117406845093,0.21307021379470825,1.4130611419677734,0.21307021379470825
