num_neurons_perturbed,baseline_min_epsilon,baseline_avg_epsilon,baseline_max_epsilon,constrained_min_epsilon,constrained_avg_epsilon,constrained_max_epsilon
296,1.0,1.0,1.0,1.0,1.0025,1.1
299,0.3,0.3,0.3,0.3,0.3005,0.4
302,0.3,0.3,0.3,0.3,0.3011,0.4
305,0.1,0.1091,0.4,0.1,0.109,0.4
308,0.2,0.2,0.2,0.2,0.2002,0.3
311,1.6,1.6,1.6,1.6,1.6312,1.7
312,0.2,0.2,0.2,0.2,0.2002,0.3
318,1.4,1.4,1.4,1.4,1.4216,1.5
320,0.1,0.1,0.1,0.1,0.1,0.2
327,0.3,0.6114,1.5,0.3,0.6142,1.6
328,0.4,0.4,0.4,0.4,0.4014,0.5
331,0.1,0.1,0.1,0.1,0.1,0.2
336,0.9,0.9,0.9,0.9,0.908,1.0
339,0.3,0.3,0.3,0.3,0.3,0.3
342,0.1,0.1,0.1,0.1,0.1,0.1
346,0.1,0.1101,0.6,0.1,0.1101,0.7
355,0.2,0.2918,1.3,0.2,0.2938,1.4
359,0.1,0.1,0.1,0.1,0.1,0.1
373,0.2,0.2,0.2,0.2,0.2,0.2
383,0.2,0.2,0.2,0.2,0.2002,0.3
385,0.1,0.1,0.1,0.1,0.1,0.2
386,0.8,0.8,0.8,0.8,0.8037,0.9
387,0.3,0.3,0.3,0.2,0.2996,0.3
391,0.1,0.1,0.1,0.1,0.1001,0.2
395,0.1,0.1136,0.3,0.1,0.1136,0.4
396,0.3,0.3,0.3,0.3,0.3,0.3
400,0.2,0.2,0.2,0.2,0.2002,0.3
401,1.2,1.2,1.2,1.2,1.2172,1.3
402,1.4,1.4,1.4,1.4,1.4154,1.5
423,0.3,0.3546,0.5,0.2,0.3544,0.6
425,0.2,0.2,0.2,0.2,0.2002,0.3
441,1.3,1.3,1.3,1.3,1.3101,1.4
456,0.1,0.1,0.1,0.1,0.1,0.2
459,1.1,1.1,1.1,1.1,1.1137,1.2
460,0.2,0.2,0.2,0.2,0.2003,0.3
466,0.2,0.2298,0.3,0.2,0.2302,0.4
467,0.7,0.7,0.7,0.7,0.7051,0.8
473,0.1,0.1,0.1,0.1,0.1001,0.2
483,0.2,0.2,0.2,0.2,0.2004,0.3
486,0.2,0.2,0.2,0.2,0.2003,0.3
493,0.1,0.1,0.1,0.1,0.1,0.2
510,1.2,1.2,1.2,1.2,1.2111,1.3
518,15.6,15.6,15.6,15.7,15.75,15.8
520,15.5,15.5,15.5,15.5,15.5,15.5
521,15.3,15.3,15.3,15.4,15.4,15.4
522,15.2,15.2,15.2,15.2,15.3,15.4
524,15.0,15.0,15.0,15.1,15.15,15.2
526,14.9,14.9,14.9,14.9,15.0,15.1
528,14.7,14.7,14.7,14.5,14.8429,14.9
530,0.1,0.1,0.1,0.1,0.1,0.2
532,1.0,1.0,1.0,1.0,1.0105,1.1
535,0.4,0.4577,14.3,0.4,0.4606,14.4
536,14.2,14.2,14.2,14.1,14.3769,14.4
541,0.2,0.2,0.2,0.2,0.2004,0.3
549,14.0,14.0,14.0,14.0,14.05,14.1
551,0.1,0.1078,13.9,0.1,0.1078,14.0
553,0.1,5.3569,13.8,0.1,5.4337,14.0
565,0.2,0.2,0.2,0.2,0.2001,0.3
566,0.6,0.6,0.6,0.6,0.6012,0.7
582,1.1,1.1,1.1,1.1,1.1074,1.2
607,0.1,0.1,0.1,0.1,0.1001,0.2
627,0.9,0.9,0.9,0.9,0.9088,1.0
629,0.2,0.2,0.2,0.1,0.1999,0.2
632,0.1,0.1,0.1,0.1,0.1001,0.2
655,0.1,0.1,0.1,0.1,0.1001,0.2
661,0.2,0.2,0.2,0.2,0.2001,0.3
663,1.0,1.0,1.0,1.0,1.0011,1.1
664,0.2,0.2,0.2,0.2,0.2001,0.3
721,0.2,0.2,0.2,0.1,0.1999,0.2
729,0.5,0.5,0.5,0.5,0.5027,0.6
747,0.1,0.1,0.1,0.1,0.1,0.2
750,0.1,0.1,0.1,0.1,0.1001,0.2
752,0.8,0.8,0.8,0.8,0.8067,0.9
775,0.3,0.3,0.3,0.3,0.3003,0.4
776,0.2,0.2,0.2,0.2,0.2002,0.3
